rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
1,38632,327,0.0,0.0,6.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
1,38506,327,0.0,0.0,5.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
1,83004,282,16.5,16.5,14.81,9.81,mei,2.0,,,,2.0,2.0,1.0,1.0,,3.0,1.0,,,,,,,,True
1,38909,262,0.8,0.8,10.89,-4.11,mei,8.0,5.0,,,,1.0,,1.0,,1.0,3.0,,1.0,,,,,,True
1,61033,264,16.5,16.5,23.08,6.08,mei,2.0,5.0,,,,,2.0,,,1.0,1.0,,,,,,,,True
1,37655,327,5.1,5.1,10.4,0.4,ata,,4.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,True
1,60822,327,0.0,0.0,5.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
1,50401,327,1.2,1.2,4.27,-0.73,mei,,1.0,,,,,,,,1.0,,,,,,,,,True
1,38695,327,0.0,0.0,3.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
1,38350,327,0.0,0.0,3.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
1,50361,327,6.2,6.2,8.4,2.4,zag,,1.0,,,,,,,,1.0,,,,,1.0,,,,True
1,50421,327,-0.5,-0.5,3.1,-1.9,mei,,,,,,,,,,,1.0,,,,,,,,True
1,72097,327,0.0,0.0,6.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
1,63194,327,15.9,15.9,14.4,9.4,lat,1.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,True
1,60834,327,11.7,11.7,12.88,5.88,ata,2.0,2.0,1.0,,1.0,2.0,,1.0,,5.0,3.0,,1.0,,,,,,True
1,62137,327,10.05,10.05,8.99,5.99,tec,,,,,,,,,,,,,,,,,,,True
1,60788,327,0.0,0.0,7.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
