team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
275.0,1,1,1,1,2,2,2.0,2.0,0,Palmeiras
315.0,1,3,3,1,1,2,2.0,1.0,0,Chapecoense
266.0,1,3,3,1,0,1,1.0,0.0,1,Fluminense
276.0,1,3,3,1,1,2,2.0,1.0,0,São Paulo
283.0,1,0,0,1,1,0,0.0,1.0,0,Cruzeiro
293.0,1,3,3,1,0,2,2.0,0.0,1,Atlético-PR
292.0,1,3,3,1,1,4,4.0,1.0,0,Sport
267.0,1,1,1,1,0,0,0.0,0.0,1,Vasco
284.0,1,1,1,1,3,3,3.0,3.0,0,Grêmio
314.0,1,1,1,1,1,1,1.0,1.0,0,Avaí
294.0,1,0,0,0,0,0,0.0,0.0,0,Coritiba
290.0,1,1,1,0,0,0,0.0,0.0,1,Goiás
264.0,1,3,3,0,2,2,2.0,2.0,1,Corinthians
262.0,1,0,0,0,2,1,1.0,2.0,0,Flamengo
277.0,1,1,1,0,1,1,1.0,1.0,0,Santos
282.0,1,1,1,0,2,2,2.0,2.0,0,Atlético-MG
215.0,1,0,0,0,1,0,0.0,1.0,0,Joinville
303.0,1,1,1,0,3,3,3.0,3.0,0,Ponte Preta
285.0,1,0,0,0,3,0,0.0,3.0,0,Internacional
316.0,1,0,0,0,4,0,0.0,4.0,0,Figueirense
275.0,2,1,2,0,2,2,1.0,1.0,1,Palmeiras
315.0,2,0,3,0,2,2,1.0,1.0,0,Chapecoense
266.0,2,0,3,0,4,2,1.0,2.0,1,Fluminense
276.0,2,0,3,0,2,2,1.0,1.0,0,São Paulo
283.0,2,0,0,0,2,0,0.0,1.0,0,Cruzeiro
293.0,2,0,3,0,2,2,1.0,1.0,1,Atlético-PR
292.0,2,1,4,0,3,6,3.0,1.5,0,Sport
267.0,2,1,2,0,0,0,0.0,0.0,2,Vasco
284.0,2,0,1,0,5,3,1.5,2.5,0,Grêmio
314.0,2,0,1,0,2,1,0.5,1.0,0,Avaí
294.0,2,3,3,1,2,2,1.0,1.0,1,Coritiba
290.0,2,3,4,1,0,2,1.0,0.0,2,Goiás
264.0,2,3,6,1,0,2,1.0,0.0,2,Corinthians
262.0,2,1,1,1,4,3,1.5,2.0,0,Flamengo
277.0,2,3,4,1,1,2,1.0,0.5,1,Santos
282.0,2,3,4,1,3,6,3.0,1.5,0,Atlético-MG
215.0,2,1,1,1,1,0,0.0,0.5,1,Joinville
303.0,2,3,4,1,3,4,2.0,1.5,1,Ponte Preta
285.0,2,3,3,1,3,1,0.5,1.5,1,Internacional
316.0,2,1,1,1,4,0,0.0,2.0,1,Figueirense
275.0,3,0,2,1,3,2,0.6666666666666666,1.0,1,Palmeiras
315.0,3,3,6,1,2,3,1.0,0.6666666666666666,1,Chapecoense
266.0,3,1,4,1,4,2,0.6666666666666666,1.3333333333333333,2,Fluminense
276.0,3,3,6,1,2,5,1.6666666666666667,0.6666666666666666,1,São Paulo
283.0,3,1,1,1,3,1,0.3333333333333333,1.0,0,Cruzeiro
293.0,3,3,6,1,2,3,1.0,0.6666666666666666,2,Atlético-PR
292.0,3,3,7,1,3,7,2.3333333333333335,1.0,1,Sport
267.0,3,1,3,1,1,1,0.3333333333333333,0.3333333333333333,2,Vasco
284.0,3,3,4,1,5,3,1.0,1.6666666666666667,1,Grêmio
314.0,3,3,4,1,3,3,1.0,1.0,0,Avaí
294.0,3,0,3,0,3,2,0.6666666666666666,1.0,1,Coritiba
290.0,3,3,7,0,0,2,0.6666666666666666,0.0,3,Goiás
264.0,3,1,7,0,0,2,0.6666666666666666,0.0,3,Corinthians
262.0,3,0,1,0,6,4,1.3333333333333333,2.0,0,Flamengo
277.0,3,0,4,0,2,2,0.6666666666666666,0.6666666666666666,1,Santos
282.0,3,0,4,0,4,6,2.0,1.3333333333333333,0,Atlético-MG
215.0,3,0,1,0,4,0,0.0,1.3333333333333333,1,Joinville
303.0,3,1,5,0,4,5,1.6666666666666667,1.3333333333333333,1,Ponte Preta
285.0,3,1,4,0,4,2,0.6666666666666666,1.3333333333333333,1,Internacional
316.0,3,0,1,0,5,0,0.0,1.6666666666666667,1,Figueirense
275.0,4,3,5,0,3,4,1.0,0.75,2,Palmeiras
315.0,4,0,6,0,5,4,1.0,1.25,1,Chapecoense
266.0,4,3,7,0,6,4,1.0,1.5,2,Fluminense
276.0,4,1,7,0,2,5,1.25,0.5,2,São Paulo
283.0,4,0,1,0,5,2,0.5,1.25,0,Cruzeiro
293.0,4,3,9,0,3,5,1.25,0.75,2,Atlético-PR
292.0,4,1,8,0,5,9,2.25,1.25,1,Sport
267.0,4,0,3,0,4,1,0.25,1.0,2,Vasco
284.0,4,1,5,0,6,4,1.0,1.5,1,Grêmio
314.0,4,3,7,0,4,5,1.25,1.0,0,Avaí
294.0,4,0,3,1,5,3,0.75,1.25,1,Coritiba
290.0,4,1,8,1,1,3,0.75,0.25,3,Goiás
264.0,4,0,7,1,2,2,0.5,0.5,3,Corinthians
262.0,4,0,1,1,9,6,1.5,2.25,0,Flamengo
277.0,4,1,5,1,4,4,1.0,1.0,1,Santos
282.0,4,3,7,1,4,9,2.25,1.0,1,Atlético-MG
215.0,4,0,1,1,6,1,0.25,1.5,1,Joinville
303.0,4,3,8,1,5,8,2.0,1.25,1,Ponte Preta
