team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
283.0,1,0,0,1,1.0,0.0,0.0,1.0,0.0,Cruzeiro
293.0,1,3,3,1,1.0,5.0,5.0,1.0,0.0,Atlético-PR
327.0,1,3,3,1,0.0,3.0,3.0,0.0,1.0,América-MG
287.0,1,1,1,1,2.0,2.0,2.0,2.0,0.0,Vitória
267.0,1,3,3,1,1.0,2.0,2.0,1.0,0.0,Vasco
263.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,Botafogo
276.0,1,3,3,1,0.0,1.0,1.0,0.0,1.0,São Paulo
277.0,1,3,3,1,0.0,1.0,1.0,0.0,1.0,Santos
264.0,1,3,3,1,1.0,2.0,2.0,1.0,0.0,Corinthians
285.0,1,3,3,1,0.0,2.0,2.0,0.0,1.0,Internacional
282.0,1,0,0,0,2.0,1.0,1.0,2.0,0.0,Atlético-MG
217.0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,Paraná
315.0,1,0,0,0,5.0,1.0,1.0,5.0,0.0,Chapecoense
265.0,1,0,0,0,2.0,0.0,0.0,2.0,0.0,Bahia
266.0,1,0,0,0,2.0,1.0,1.0,2.0,0.0,Fluminense
262.0,1,1,1,0,2.0,2.0,2.0,2.0,0.0,Flamengo
354.0,1,0,0,0,2.0,0.0,0.0,2.0,0.0,Ceará-SC
292.0,1,0,0,0,3.0,0.0,0.0,3.0,0.0,Sport
275.0,1,1,1,0,1.0,1.0,1.0,1.0,0.0,Palmeiras
284.0,1,3,3,0,0.0,1.0,1.0,0.0,1.0,Grêmio
283.0,2,0,0,0,2.0,0.0,0.0,1.0,0.0,Cruzeiro
293.0,2,1,4,0,1.0,5.0,2.5,0.5,1.0,Atlético-PR
327.0,2,0,3,0,2.0,3.0,1.5,1.0,1.0,América-MG
287.0,2,0,1,0,4.0,2.0,1.0,2.0,0.0,Vitória
267.0,2,1,4,0,2.0,3.0,1.5,1.0,0.0,Vasco
263.0,2,1,2,0,2.0,2.0,1.0,1.0,0.0,Botafogo
276.0,2,1,4,0,0.0,1.0,0.5,0.0,2.0,São Paulo
277.0,2,0,3,0,1.0,1.0,0.5,0.5,1.0,Santos
264.0,2,3,6,0,1.0,6.0,3.0,0.5,1.0,Corinthians
285.0,2,0,3,0,1.0,2.0,1.0,0.5,1.0,Internacional
282.0,2,3,3,1,3.0,3.0,1.5,1.5,0.0,Atlético-MG
217.0,2,0,0,1,5.0,0.0,0.0,2.5,0.0,Paraná
315.0,2,1,1,1,6.0,2.0,1.0,3.0,0.0,Chapecoense
265.0,2,3,3,1,2.0,1.0,0.5,1.0,1.0,Bahia
266.0,2,3,3,1,2.0,2.0,1.0,1.0,1.0,Fluminense
262.0,2,3,4,1,2.0,4.0,2.0,1.0,0.0,Flamengo
354.0,2,1,1,1,2.0,0.0,0.0,1.0,1.0,Ceará-SC
292.0,2,1,1,1,4.0,1.0,0.5,2.0,0.0,Sport
275.0,2,3,4,1,1.0,2.0,1.0,0.5,1.0,Palmeiras
284.0,2,1,4,1,0.0,1.0,0.5,0.0,2.0,Grêmio
283.0,3,1,1,0,2.0,0.0,0.0,0.6666666666666666,1.0,Cruzeiro
293.0,3,1,5,0,1.0,5.0,1.6666666666666667,0.3333333333333333,2.0,Atlético-PR
327.0,3,3,6,1,3.0,5.0,1.6666666666666667,1.0,1.0,América-MG
287.0,3,0,1,0,6.0,3.0,1.0,2.0,0.0,Vitória
267.0,3,1,5,0,2.0,3.0,1.0,0.6666666666666666,0.0,Vasco
263.0,3,3,5,1,3.0,4.0,1.3333333333333333,1.0,0.0,Botafogo
276.0,3,1,5,0,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,São Paulo
277.0,3,1,4,1,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,Santos
264.0,3,0,6,0,2.0,6.0,2.0,0.6666666666666666,1.0,Corinthians
285.0,3,1,4,1,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,Internacional
282.0,3,3,6,1,3.0,4.0,1.3333333333333333,1.0,1.0,Atlético-MG
217.0,3,0,0,1,7.0,1.0,0.3333333333333333,2.3333333333333335,0.0,Paraná
315.0,3,1,2,0,6.0,2.0,0.6666666666666666,2.0,1.0,Chapecoense
265.0,3,1,4,1,2.0,1.0,0.3333333333333333,0.6666666666666666,2.0,Bahia
266.0,3,1,4,1,3.0,3.0,1.0,1.0,1.0,Fluminense
262.0,3,3,7,0,2.0,7.0,2.3333333333333335,0.6666666666666666,1.0,Flamengo
354.0,3,0,1,1,5.0,0.0,0.0,1.6666666666666667,1.0,Ceará-SC
292.0,3,3,4,0,5.0,3.0,1.0,1.6666666666666667,0.0,Sport
275.0,3,1,5,1,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,Palmeiras
284.0,3,0,4,0,2.0,1.0,0.3333333333333333,0.6666666666666666,2.0,Grêmio
